单位：人,,,,,,,,,(person)
地    区,Region,Resident Population,By Age,By Age,By Age,按性别分    By Sex,,按城乡分  By Residence    ,
地    区,Region,Resident Population,Aged 0-14,Aged 15-64,Aged 65 and Over,"男               
Male","女                
Female","城 镇
Urban","乡 村
Rural "
全    市,Whole  City,12 748 262,1 727 189,9 435 372,1 585 701,6 657 110,6 091 152,10 418 373,2 329 889
姑苏区,    Gusu District, 924 083, 113 392, 640 763, 169 928, 456 751, 467 332, 924 083,-　
吴中区,    Wuzhong District,1 388 972, 180 646,1 058 766, 149 560, 727 815, 661 157,1 070 750, 318 222
相城区,    Xiangcheng District, 891 055, 125 626, 670 062, 95 367, 472 592, 418 463, 839 374, 51 681
虎丘区、高新区,"    Huqiu District, High-tech Zone", 832 499, 123 146, 632 321, 77 032, 436 545, 395 954, 763 606, 68 893
工业园区,    Industrial Park,1 133 927, 183 117, 854 572, 96 238, 587 651, 546 276,1 133 927,-　
    吴江区,    Wujiang District,1 545 023, 198 578,1 144 922, 201 523, 813 616, 731 407,1 161 152, 383 871
常  熟,    Changshu,1 677 050, 185 163,1 223 891, 267 996, 872 242, 804 808,1 230 599, 446 451
张家港,    Zhangjiagang,1 432 044, 196 419,1 025 027, 210 598, 738 317, 693 727,1 055 893, 376 151
昆  山,    Kunshan,2 092 496, 320 034,1 588 552, 183 910,1 113 706, 978 790,1 652 159, 440 337
太  仓,    Taicang, 831 113, 101 068, 596 496, 133 549, 437 875, 393 238, 586 830, 244 283
注：第七次全国人口普查标准时点为2020年11月1日零时。,,,,,,,,,
Note: The standard time-point for the seventh national census was 00：00 on 1 November 2020.,,,,,,,,,
