单位：人,,,,,,,,,,,,,,(person)
"年  份
Year   ","全市总人口
Total 
Population of the Whole City",,,,,,,按性别分   By Sex,,"年平均人口      Average 
Person              Per Year","总户数
(户)        
Total Number 
of Households (household)","平均每户
人口     
Average
Person","附：全市
常住人口
（万人）
Resident Population of the Whole City (10 000 persons)","城镇人口比重(%)
Proportion of Urban Population 
(%)"
,,"市  区            
Urban 
Area ","吴江区                   Wujiang 
District",常熟市                 Changshu ,张家港市                        Zhangjiagang ,昆山市                   Kunshan ,太仓市               Taicang ,"男              
 Male","女              
 Female",,,,,
1949,3 386 027,1 613 652, 468 631, 681 358, 484 098, 304 813, 302 106,1 685 685,1 700 342,3 384 031, 815 858,4.15,,
1952,3 523 189,1 671 208, 490 870, 693 474, 497 929, 348 754, 311 824,1 768 903,1 754 286,3 467 676, 883 279,3.99,,
1957,3 851 040,1 839 466, 539 483, 750 452, 538 305, 382 491, 340 326,1 910 677,1 940 363,3 818 428, 950 301,4.05,,
1962,3 996 505,1 912 708, 541 890, 773 606, 569 442, 389 084, 351 665,1 977 577,2 018 928,3 966 800,1 080 214,3.7,,
1965,4 295 134,2 057 262, 585 879, 820 204, 618 233, 427 467, 371 968,2 143 538,2 151 596,4 249 262,1 081 437,3.97,,
1970,4 680 237,2 199 896, 657 381, 894 054, 698 071, 483 290, 404 926,2 330 843,2 349 394,4 642 755,1 203 088,3.89,,
1975,4 926 040,2 319 193, 693 119, 939 340, 735 534, 509 228, 422 745,2 461 171,2 464 869,4 904 225,1 269 739,3.88,,
1978,5 062 702,2 392 332, 708 187, 964 437, 756 618, 521 320, 427 995,2 534 209,2 528 493,5 036 822,1 374 222,3.68,,
1980,5 186 167,2 490 995, 716 057, 980 263, 762 715, 523 532, 428 662,2 598 646,2 587 521,5 167 938,1 423 285,3.64,,
1985,5 351 145,2 597 103, 733 017, 998 031, 782 712, 537 940, 435 359,2 685 217,2 665 928,5 335 524,1 556 308,3.44,,
1990,5 610 165,2 732 375, 764 187,1 032 888, 834 070, 564 610, 446 222,2 812 685,2 797 480,5 588 121,1 733 612,3.24,,
1995,5 729 088,2 805 659, 777 226,1 043 573, 850 486, 580 504, 448 866,2 866 058,2 863 030,5 721 692,1 878 344,3.05,,
2000,5 781 689,2 843 674, 771 822,1 039 064, 854 953, 594 592, 449 406,2 873 897,2 907 792,5 771 988,1 981 783,2.92,684.91,
2001,5 805 252,2 864 844, 770 320,1 037 618, 853 597, 600 279, 448 914,2 882 853,2 922 399,5 793 471,1 994 777,2.91,691.25,
2002,5 838 599,2 893 397, 769 423,1 036 229, 852 718, 606 936, 449 319,2 900 486,2 938 113,5 821 926,2 019 150,2.89,700.66,
2003,5 909 656,2 940 849, 772 186,1 037 962, 860 195, 619 534, 451 116,2 927 836,2 981 820,5 874 128,2 049 073,2.88,714.96,
2004,5 988 510,2 985 027, 777 509,1 043 132, 868 640, 637 157, 454 554,2 963 235,3 025 275,5 949 083,2 058 936,2.91,729.07,
2005,6 073 101,3 034 158, 783 094,1 047 659, 879 033, 654 603, 457 648,3 003 445,3 069 656,6 030 805,2 068 264,2.94,757.7,64.7
2006,6 160 814,3 089 935, 788 438,1 054 825, 887 804, 666 809, 461 441,3 045 120,3 115 694,6 116 958,2 072 444,2.97,809.86,65.1
2007,6 244 311,3 146 191, 793 172,1 061 410, 893 039, 679 846, 463 825,3 085 728,3 158 583,6 202 563,2 087 038,2.99,882.12,65.6
2008,6 297 530,3 177 364, 795 254,1 065 018, 898 430, 690 435, 466 283,3 110 084,3 187 446,6 270 921,2 096 473,3,912.65,65.95
2009,6 332 903,3 199 301, 797 240,1 066 417, 900 132, 699 885, 467 168,3 125 028,3 207 875,6 315 217,2 106 918,3.01,936.95,66.25
2010,6 376 558,3 224 328, 799 569,1 066 908, 905 085, 711 333, 468 904,3 144 153,3 232 405,6 354 731,2 117 941,3.01,1 046.85,70.55
2011,6 423 336,3 254 268, 801 784,1 067 183, 907 868, 723 644, 470 373,3 164 805,3 258 531,6 399 947,2 132 385,3.01,1 110.87,71.31
2012,6 478 054,3 289 922, 804 868,1 067 798, 910 208, 737 565, 472 561,3 189 087,3 288 967,6 450 695,2 140 419,3.03,1 159.42,71.8
2013,6 538 372,3 328 982, 808 562,1 067 263, 914 740, 752 926, 474 461,3 215 645,3 322 727,6 508 213,2 155 714,3.03,1 193.35,73.2
2014,6 610 766,3 374 960, 814 370,1 068 844, 919 816, 769 746, 477 400,3 247 621,3 363 145,6 574 569,2 174 611,3.04,1 222.57,74.45
2015,6 670 124,3 412 564, 817 952,1 068 211, 922 757, 787 031, 479 561,3 273 640,3 396 484,6 640 445,2 192 281,3.04,1 230.55,76.52
2016,6 781 957,3 480 163, 824 518,1 068 666, 926 592, 823 547, 482 989,3 325 291,3 456 666,6 726 041,2 224 446,3.05,1 253.66,77.79
2017,6 910 682,3 562 955, 832 739,1 069 079, 929 018, 862 709, 486 921,3 385 031,3 525 651,6 846 320,2 265 822,3.05,1 261.90,78.6
2018,7 035 490,3 640 885, 840 768,1 067 968, 929 429, 903 238, 493 970,3 441 658,3 593 832,6 973 086,2 309 153,3.05,1 266.69,79.6
2019,7 226 030,3 745 779, 855 834,1 066 877, 930 364, 981 277, 501 733,3 527 582,3 698 448,7 130 760,2 380 728,3.04,1 270.75,81.58
2020,7 443 344,3 871 398, 876 671,1 064 081, 930 189,1 067 149, 510 527,3 624 477,3 818 867,7 334 687,2 464 492,3.02,1 274.96,81.72
2021,7 621 099,3 961 554, 895 024,1 060 994, 929 339,1 143 315, 525 897,3 700 738,3 920 361,7 532 222,2 537 454,3,1 284.78,81.93
2022, 7 747 259, 4 026 474,  907 653, 1 056 599,  927 262, 1 203 932,  532 992,3 751 618,3 995 641,7 684 179, 2 593 817,2.99,  1 291.06,82.12
2023,7 862 196,4 088 002,919 023,1 051 019,924 261,1 256 463,542 451,3 791 438,4 070 758,7 804 728,2 657 821,2.96,1 295.80,82.48
