Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
中文站名,英文站名,所在地,站台形式,,换乘线路,线路,
木渎,Mudu,吴中区,地下,岛式,不适用,1号线,
金枫路,Jinfenglu,虎丘区,地下,岛式,,1号线,
汾湖路,Fenhulu,虎丘区,地下,岛式,,1号线,
玉山路,Yushanlu,虎丘区,地下,岛式,,1号线,
狮子山,Shizishan,虎丘区,地下,岛式,█?3号线,1号线,
塔园路,Tayuanlu,虎丘区,地下,岛式,不适用,1号线,
滨河路,Binhelu,虎丘区,地下,岛式,,1号线,
西环路,Xihuanlu,姑苏区,地下,岛式,,1号线,
桐泾北路,Tongjingbeilu,姑苏区,地下,岛式,,1号线,
广济南路,Guangjinanlu,姑苏区,地下,侧式,█?2号线,1号线,
养育巷,Yangyuxiang,姑苏区,地下,岛式,不适用,1号线,
乐桥,Leqiao,姑苏区,地下,岛式,█?4号线,1号线,
临顿路,Lindunlu,姑苏区,地下,岛式,█?6号线,1号线,
相门,Xiangmen,姑苏区,地下,岛式,不适用,1号线,
东环路,Donghuanlu,姑苏区,地下,岛式,,1号线,
中央公园,Zhongyanggongyuan,苏州工业园区,地下,岛式,█?7号线,1号线,
星海广场,Xinhaiguangchang,苏州工业园区,地下,岛式,不适用,1号线,
东方之门,Dongfangzhimen,苏州工业园区,地下,岛式,█?3号线,1号线,
文化博览中心,Wenhuabuolanzhongxin,苏州工业园区,地下,岛式,不适用,1号线,
时代广场,Shidaiguangchang,苏州工业园区,地下,岛式,█?8号线,1号线,
星湖街,Xinghujie,苏州工业园区,地下,岛式,不适用,1号线,
南施街,Nanshijie,苏州工业园区,地下,岛式,,1号线,
星塘街,Xingtangjie,苏州工业园区,地下,岛式,█?5号线,1号线,
钟南街,Zhongnanjie,苏州工业园区,地下,岛式,不适用,1号线,
中文站名,英文站名,所在地,站台形式,,换乘线路,2号线,
爱格豪路,Aigehaolu,相城区,地下,岛式,不适用,2号线,
珍珠湖路,Zhenzhuhulu,相城区,地下,岛式,,2号线,
渭中路,Weizhonglu,相城区,地下,岛式,,2号线,
朗力福大道,Langlifudadao,相城区,地下,岛式,,2号线,
骑河,Qihe,相城区,地下,岛式,,2号线,
富翔路,Fuxianglu,相城区,地下,岛式,,2号线,
高铁苏州北站,Suzhoubei Railway Station,相城区,地下,岛式,█?7号线（在建）,2号线,
大湾,Dawan,相城区,高架,侧式,不适用,2号线,
富元路,Fuyuanlu,相城区,高架,侧式,,2号线,
蠡口,Likou,相城区,高架,侧式,,2号线,
徐图港,Xutugang,相城区,高架,侧式,,2号线,
阳澄湖中路,Yangchenhuzhonglu,相城区,高架,侧式,█?8号线,2号线,
陆慕,Lumu,相城区,地下,岛式,不适用,2号线,
平泷路东,Pinglonglu East,相城区,地下,岛式,,2号线,
平河路,Pinghelu,姑苏区,地下,岛式,█?6号线,2号线,
苏州火车站,Suzhou Railway Station,姑苏区,地下,岛式,█?4号线,2号线,
山塘街,Shantangjie,姑苏区,地下,岛式,不适用,2号线,
石路,Shilu,姑苏区,地下,岛式,,2号线,
广济南路,Guangjinanlu,姑苏区,地下,岛式,█?1号线,2号线,
三香广场,Sanxiangguanchang,姑苏区,地下,岛式,不适用,2号线,
劳动路,Laodonglu,姑苏区,地下,岛式,█?5号线,2号线,
胥江路,Xujianglu,姑苏区,地下,岛式,不适用,2号线,
桐泾公园,Tongjingongyuan,姑苏区,地下,岛式,,2号线,
友联,Youlian,姑苏区,地下,岛式,,2号线,
盘蠡路,Panlilu,吴中区,地下,岛式,█?3号线,2号线,
新家桥,Xingjiaqiao,吴中区,地下,岛式,不适用,2号线,
石湖东路,Shihudonglu,吴中区,地下,岛式,█?4号线,2号线,
宝带桥南,Baodaiqiao South,吴中区,地下,岛式,不适用,2号线,
尹中路,Yinzhonglu,吴中区,地下,岛式,,2号线,
郭巷,Guoxiang,吴中区,地下,岛式,█?7号线,2号线,
郭苑路,Guoyuanlu,吴中区,地下,岛式,不适用,2号线,
尹山湖,Yinshanhu,吴中区,地下,岛式,,2号线,
独墅湖南,Dushuhu South,吴中区,地下,岛式,,2号线,
独墅湖邻里中心,Dushuhu Linlizhongxin,苏州工业园区,地下,岛式,,2号线,
月亮湾,Yueliangwan,苏州工业园区,地下,岛式,,2号线,
松涛街,Songtaojie,苏州工业园区,地下,岛式,█?8号线,2号线,
金谷路,Jingulu,苏州工业园区,地下,岛式,不适用,2号线,
金尚路,Jinshanglu,苏州工业园区,地下,岛式,█?6号线,2号线,
桑田岛,Sangtiandao,苏州工业园区,地下,岛式,█?6号线,2号线,
中文站名,英文站名,所在地,站台形式,,换乘线路,3号线,
苏州新区火车站,Suzhou Xinqu Railway Station,虎丘区,地下,岛式,█?6号线,3号线,
惠昌路,Huichanglu,虎丘区,地下,岛式,不适用,3号线,
文昌路,Wenchanglu,虎丘区,地下,岛式,█?有轨电车2号线,3号线,
长亭,Changting,虎丘区,地下,岛式,不适用,3号线,
铜墩,Tongdun,虎丘区,地下,岛式,,3号线,
马运路,Mayunlu,虎丘区,地下,岛式,,3号线,
西津桥,Xijinqiao,虎丘区,地下,双岛式,█?8号线,3号线,
何山,Heshan,虎丘区,地下,岛式,不适用,3号线,
狮子山,Shizishan,虎丘区,地下,岛式,█?1号线,3号线,
狮山路,Shishanlu,虎丘区,地下,岛式,不适用,3号线,
沙金桥,Shajinqiao,虎丘区,地下,岛式,,3号线,
索山桥西,Suoshanqiao West,虎丘区,地下,岛式,█?5号线,3号线,
横山,Hengshan,虎丘区,地下,岛式,不适用,3号线,
横塘,Hengtang,虎丘区,地下,岛式,,3号线,
石湖北,Shihu North,虎丘区,地下,岛式,,3号线,
新郭,Xinguo,姑苏区,地下,岛式,,3号线,
盘蠡路,Panlilu,吴中区,地下,岛式,█?2号线,3号线,
宝带路,Baodailu,吴中区,地下,岛式,█?4号线,3号线,
迎春路,Yingchunlu,吴中区,地下,岛式,不适用,3号线,
北港路,Beiganglu,吴中区,地下,岛式,,3号线,
通园路南,Tongyuanlu South,苏州工业园区,地下,岛式,█?7号线,3号线,
墅浦路北,Shupulu North,苏州工业园区,地下,岛式,不适用,3号线,
东振路,Dongzhenlu,苏州工业园区,地下,岛式,,3号线,
金厍桥,Jinsheqiao,苏州工业园区,地下,岛式,█?5号线,3号线,
李公堤西,Ligongdi West,苏州工业园区,地下,岛式,█?6号线,3号线,
东方之门,Dongfangzhimen,苏州工业园区,地下,岛式,█?1号线,3号线,
烟雨桥,Yanyuqiao,苏州工业园区,地下,岛式,不适用,3号线,
倪浜,Nibang·Yangcheng Digital Valley,苏州工业园区,地下,岛式,,3号线,
唐庄,Tangzhuang,苏州工业园区,地下,叠岛式,█?8号线,3号线,
跨塘,Kuatang,苏州工业园区,地下,岛式,不适用,3号线,
苏州园区火车站,Suzhou Yuanqu Railway Station,苏州工业园区,地下,岛式,█?8号线,3号线,
方湾街,Fangwanjie,苏州工业园区,地下,岛式,不适用,3号线,
